index,type,value,combination
201,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
202,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
203,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
204,_xmlCharEncodingHandler*,xmlFindCharEncodingHandler,xml	Char	Encoding	Handler*	xml	Find	Char	Encoding	Handler	
205,i8*,xmlGetEncodingAlias,i8*	xml	Get	Encoding	Alias	
206,i32,strcmp,i32	strcmp	
207,i8*,iconv_open,i8*	iconv	open	
208,i8*,iconv_open,i8*	iconv	open	
209,i8*,iconv_open,i8*	iconv	open	
210,i8*,iconv_open,i8*	iconv	open	
211,i8*,iconv_open,i8*	iconv	open	
212,i8*,iconv_open,i8*	iconv	open	
213,i32,xmlParseCharEncoding,i32	xml	Parse	Char	Encoding	
214,i32,strcmp,i32	strcmp	
215,i8*,xmlGetCharEncodingName,i8*	xml	Get	Char	Encoding	Name	
216,i32*,__errno_location,i	errno	location	
217,i32*,__errno_location,i	errno	location	
218,i32*,__errno_location,i	errno	location	
219,i64,xmlBufUse,i64	xml	Buf	Use	
220,i64,xmlBufUse,i64	xml	Buf	Use	
221,i64,xmlBufUse,i64	xml	Buf	Use	
222,i64,xmlBufUse,i64	xml	Buf	Use	
223,i64,xmlBufAvail,i64	xmlBufAvail	
224,i64,xmlBufAvail,i64	xml	Buf	Avail	
225,i64,xmlBufUse,i64	xml	Buf	Use	
226,i64,xmlBufUse,i64	xml	Buf	Use	
227,i64,xmlBufAvail,i64	xml	Buf	Avail	
228,i64,xmlBufUse,i64	xml	Buf	Use	
229,i64,xmlBufAvail,i64	xmlBufAvail	
230,i64,xmlBufAvail,i64	xml	Buf	Avail	
231,i64,xmlBufAvail,i64	xml	Buf	Avail	
232,i64,xmlBufAvail,i64	xml	Buf	Avail	
233,i64,xmlBufUse,i64	xml	Buf	Use	
234,i64,xmlBufUse,i64	xml	Buf	Use	
235,i64,xmlBufUse,i64	xml	Buf	Use	
236,i64,xmlBufAvail,i64	xmlBufAvail	
237,i64,xmlBufAvail,i64	xml	Buf	Avail	
238,i32,xmlGetUTF8Char,i32	xml	Get	U	T	F8	Char	
239,i32,xmlBufGetAllocationScheme,i32	xml	Buf	Get	Allocation	Scheme	
240,i32,xmlGetUTF8Char,i32	xml	Get	U	T	F8	Char	
241,i32,iconv_close,i32	iconv	close	
242,i32,iconv_close,i32	iconv	close	
243,_xmlEntity*,xmlCreateEntity,xml	Entity*	xml	Create	Entity	
244,i32,xmlHashAddEntry,i32	xml	Hash	Add	Entry	
245,i32,xmlStrEqual,i32	xml	Str	Equal	
246,i32,xmlStrEqual,i32	xml	Str	Equal	
247,i32,xmlStrEqual,i32	xml	Str	Equal	
248,i32,xmlStrEqual,i32	xml	Str	Equal	
249,i32,xmlStrEqual,i32	xml	Str	Equal	
250,_xmlEntity*,xmlAddEntity,xml	Entity*	xml	Add	Entity	
251,_xmlEntity*,xmlAddEntity,xml	Entity*	xml	Add	Entity	
252,_xmlEntity*,xmlCreateEntity,xml	Entity*	xml	Create	Entity	
