index,type,value,combination
7644,i32,0,i32	constant	
7645,i32,0,i32	constant	
7646,i32,0,i32	constant	
7647,i32,0,i32	constant	
7648,i32,0,i32	constant	
7649,i32,0,i32	constant	
7650,i32,0,i32	constant	
7651,i32,0,i32	constant	
7652,i32,0,i32	constant	
7653,i32,0,i32	constant	
7654,i32,0,i32	constant	
7655,i32,0,i32	constant	
7656,i32,0,i32	constant	
7657,i32,0,i32	constant	
7658,i32,0,i32	constant	
7659,i32,0,i32	constant	
7660,i32,0,i32	constant	
7661,i32,0,i32	constant	
7662,i32,0,i32	constant	
7663,i32,0,i32	constant	
7664,i32,0,i32	constant	
7665,i32,0,i32	constant	
7666,i32,0,i32	constant	
7667,i32,0,i32	constant	
7668,i32,0,i32	constant	
7669,i32,0,i32	constant	
7670,i32,0,i32	constant	
7671,i32,0,i32	constant	
7672,i32,4,i32	constant	
7673,i32,0,i32	constant	
7674,i32,1,i32	constant	
7675,i32,4,i32	constant	
7676,i32,1,i32	constant	
7677,,internal global i32 0,	constant	
7678,i32,0,i32	constant	
7679,i32,1,i32	constant	
7680,i32,0,i32	constant	
7681,_xmlNode*,null,xml	Node*	null	
7682,i32,4,i32	constant	
7683,i32,1,i32	constant	
7684,i32,4,i32	constant	
7685,i32,1,i32	constant	
7686,i32,4,i32	constant	
7687,i32,1,i32	constant	
7688,i32,0,i32	constant	
7689,i32,4,i32	constant	
7690,i32,1,i32	constant	
7691,i32,4,i32	constant	
7692,i32,1,i32	constant	
7693,i32,4,i32	constant	
7694,i32,6,i32	constant	
7695,i32,4,i32	constant	
7696,i32,1,i32	constant	
7697,i32,1,i32	constant	
7698,_xmlDtd*,null,xml	Dtd*	null	
7699,,internal global _xmlDoc* null,	constant	
7700,_xmlDoc*,null,xml	Doc*	null	
7701,i32,4,i32	constant	
7702,i32,1,i32	constant	
7703,i32,4,i32	constant	
7704,i32,1,i32	constant	
7705,i32,4,i32	constant	
7706,i32,2,i32	constant	
7707,,internal global i32 0,	constant	
7708,i32,0,i32	constant	
7709,i32,0,i32	constant	
7710,i32,0,i32	constant	
7711,i32,1,i32	constant	
7712,i32,5,i32	constant	
7713,i32,5,i32	constant	
7714,i32,5,i32	constant	
7715,i32,0,i32	constant	
7716,i32,1,i32	constant	
7717,i32,2,i32	constant	
7718,i32,0,i32	constant	
7719,i32,0,i32	constant	
7720,i32,1,i32	constant	
7721,i32,5,i32	constant	
7722,i32,1,i32	constant	
7723,i32,5,i32	constant	
7724,i32,5,i32	constant	
7725,i32,0,i32	constant	
7726,i32,1,i32	constant	
7727,i32,5,i32	constant	
7728,_xmlTextWriter*,null,xml	Text	Writer*	null	
7729,i32,1,i32	constant	
7730,i32,5,i32	constant	
7731,i32,1,i32	constant	
7732,i32,5,i32	constant	
7733,i32,0,i32	constant	
7734,i32,1,i32	constant	
7735,i32,2,i32	constant	
7736,i32,5,i32	constant	
7737,i32,5,i32	constant	
7738,i32,5,i32	constant	
7739,_xmlTextReader*,null,xml	Text	Reader*	null	
7740,i32,2,i32	constant	
7741,i32,0,i32	constant	
7742,i32,1,i32	constant	
7743,i32,1,i32	constant	
7744,_xmlBuffer*,null,xml	Buffer*	null	
7745,i32,2,i32	constant	
7746,i32,5,i32	constant	
7747,i32,5,i32	constant	
7748,i32,0,i32	constant	
7749,i32,2,i32	constant	
7750,i32,5,i32	constant	
7751,_xmlList*,null,xml	List*	null	
7752,i32,5,i32	constant	
7753,i32,5,i32	constant	
7754,i32,5,i32	constant	
7755,i32,5,i32	constant	
7756,i32,0,i32	constant	
7757,i32,5,i32	constant	
7758,_xmlHashTable*,null,xml	Hash	Table*	null	
7759,i32,5,i32	constant	
7760,i32,3,i32	constant	
7761,i32,4,i32	constant	
7762,i32,0,i32	constant	
7763,i32,1,i32	constant	
7764,i32,2,i32	constant	
7765,i32,1,i32	constant	
7766,i32,3,i32	constant	
7767,_xmlXPathObject*,null,xml	X	Path	Object*	null	
7768,i32,8,i32	constant	
7769,i32,4,i32	constant	
