index,type,value,combination,label
216,i32*,__errno_location,i	errno	location	,37
217,i32*,__errno_location,i	errno	location	,37
218,i32*,__errno_location,i	errno	location	,37
219,i64,xmlBufUse,i64	xml	Buf	Use	,38
220,i64,xmlBufUse,i64	xml	Buf	Use	,38
221,i64,xmlBufUse,i64	xml	Buf	Use	,38
222,i64,xmlBufUse,i64	xml	Buf	Use	,38
223,i64,xmlBufAvail,i64	xmlBufAvail	,39
224,i64,xmlBufAvail,i64	xml	Buf	Avail	,40
225,i64,xmlBufUse,i64	xml	Buf	Use	,38
226,i64,xmlBufUse,i64	xml	Buf	Use	,38
227,i64,xmlBufAvail,i64	xml	Buf	Avail	,40
228,i64,xmlBufUse,i64	xml	Buf	Use	,38
229,i64,xmlBufAvail,i64	xmlBufAvail	,39
230,i64,xmlBufAvail,i64	xml	Buf	Avail	,40
231,i64,xmlBufAvail,i64	xml	Buf	Avail	,40
232,i64,xmlBufAvail,i64	xml	Buf	Avail	,40
233,i64,xmlBufUse,i64	xml	Buf	Use	,38
234,i64,xmlBufUse,i64	xml	Buf	Use	,38
235,i64,xmlBufUse,i64	xml	Buf	Use	,38
236,i64,xmlBufAvail,i64	xmlBufAvail	,39
237,i64,xmlBufAvail,i64	xml	Buf	Avail	,40
238,i32,xmlGetUTF8Char,i32	xml	Get	U	T	F8	Char	,41
239,i32,xmlBufGetAllocationScheme,i32	xml	Buf	Get	Allocation	Scheme	,42
240,i32,xmlGetUTF8Char,i32	xml	Get	U	T	F8	Char	,41
241,i32,iconv_close,i32	iconv	close	,-1
242,i32,iconv_close,i32	iconv	close	,-1
243,_xmlEntity*,xmlCreateEntity,xml	Entity*	xml	Create	Entity	,-1
244,i32,xmlHashAddEntry,i32	xml	Hash	Add	Entry	,43
245,i32,xmlStrEqual,i32	xml	Str	Equal	,16
246,i32,xmlStrEqual,i32	xml	Str	Equal	,16
247,i32,xmlStrEqual,i32	xml	Str	Equal	,16
248,i32,xmlStrEqual,i32	xml	Str	Equal	,16
249,i32,xmlStrEqual,i32	xml	Str	Equal	,16
250,_xmlEntity*,xmlAddEntity,xml	Entity*	xml	Add	Entity	,-1
251,_xmlEntity*,xmlAddEntity,xml	Entity*	xml	Add	Entity	,-1
252,_xmlEntity*,xmlCreateEntity,xml	Entity*	xml	Create	Entity	,-1
253,_xmlEntity*,xmlGetEntityFromTable,xml	Entity*	xml	Get	Entity	From	Table	,44
254,_xmlEntity*,xmlGetEntityFromTable,xml	Entity*	xml	Get	Entity	From	Table	,44
255,_xmlEntity*,xmlGetEntityFromTable,xml	Entity*	xml	Get	Entity	From	Table	,44
256,i8*,xmlStrstr,i8*	xml	Strstr	,45
257,i8*,xmlStrstr,i8*	xml	Strstr	,45
258,i8*,strchr,i8*	strchr	,-1
259,i32,xmlStrlen,i32	xml	Strlen	,15
260,i32,xmlStrlen,i32	xml	Strlen	,15
261,i32,xmlStrlen,i32	xml	Strlen	,15
262,i32,xmlStrlen,i32	xml	Strlen	,15
263,i32,xmlStrcmp,i32	xml	Strcmp	,46
264,i32,xmlStrcmp,i32	xml	Strcmp	,46
265,i32,xmlStrcmp,i32	xml	Strcmp	,46
266,i32,xmlStrcmp,i32	xml	Strcmp	,46
267,_xmlDoc*,xmlParseFile,xml	Doc*	xml	Parse	File	,47
268,_xmlNode*,xmlDocGetRootElement,xml	Node*	xml	Doc	Get	Root	Element	,48
269,_xmlNs*,xmlSearchNsByHref,xml	Ns*	xml	Search	Ns	By	Href	,49
270,i32,xmlStrcmp,i32	xml	Strcmp	,46
271,i32,xmlIsBlankNode,i32	xml	Is	Blank	Node	,-1
272,_xmlNode*,xmlDocGetRootElement,xml	Node*	xml	Doc	Get	Root	Element	,48
273,_xmlNode*,xmlDocGetRootElement,xml	Node*	xml	Doc	Get	Root	Element	,48
274,_xmlNs*,xmlSearchNsByHref,xml	Ns*	xml	Search	Ns	By	Href	,49
275,i32,xmlStrcmp,i32	xml	Strcmp	,46
276,_xmlNode*,xmlDocGetRootElement,xml	Node*	xml	Doc	Get	Root	Element	,48
277,i32,xmlStrcmp,i32	xml	Strcmp	,46
278,_xmlNs*,xmlSearchNsByHref,xml	Ns*	xml	Search	Ns	By	Href	,49
