index,type,value,combination
508,_htmlEntityDesc*,"htmlParseEntityRef(_xmlParserCtxt* ctxt ,i8** str )",html	Entity	Desc*	html	Parse	Entity	Ref	xml	Parser	Ctxt*	ctxt	i	str	
509,_htmlEntityDesc*,"htmlParseEntityRef(_xmlParserCtxt* ctxt ,i8** str )",html	Entity	Desc*	html	Parse	Entity	Ref	xml	Parser	Ctxt*	ctxt	i	str	
510,i32,htmlParseCharRef(_xmlParserCtxt* ctxt ),i32	html	Parse	Char	Ref	xml	Parser	Ctxt*	ctxt	
511,void,"htmlErrMemory(_xmlParserCtxt* ctxt ,i8* extra )",void	html	Err	Memory	xml	Parser	Ctxt*	ctxt	i8*	extra	
512,void,"htmlErrMemory(_xmlParserCtxt* ctxt ,i8* extra )",void	html	Err	Memory	xml	Parser	Ctxt*	ctxt	i8*	extra	
513,void,"htmlErrMemory(_xmlParserCtxt* ctxt ,i8* extra )",void	html	Err	Memory	xml	Parser	Ctxt*	ctxt	i8*	extra	
514,void,"htmlDocContentDumpFormatOutput(_xmlOutputBuffer* buf ,_xmlDoc* cur ,i8* encoding ,i32 format )",void	html	Doc	Content	Dump	Format	Output	xml	Output	Buffer*	buf	xml	Doc*	cur	i8*	encoding	i32	format	
515,void,"htmlDocContentDumpFormatOutput(_xmlOutputBuffer* buf ,_xmlDoc* cur ,i8* encoding ,i32 format )",void	html	Doc	Content	Dump	Format	Output	xml	Output	Buffer*	buf	xml	Doc*	cur	i8*	encoding	i32	format	
516,i32,"htmlSetMetaEncoding(_xmlDoc* doc ,i8* encoding )",i32	html	Set	Meta	Encoding	xml	Doc*	doc	i8*	encoding	
517,i32,"htmlSetMetaEncoding(_xmlDoc* doc ,i8* encoding )",i32	html	Set	Meta	Encoding	xml	Doc*	doc	i8*	encoding	
518,i32,"htmlSetMetaEncoding(_xmlDoc* doc ,i8* encoding )",i32	html	Set	Meta	Encoding	xml	Doc*	doc	i8*	encoding	
519,i32,"htmlSetMetaEncoding(_xmlDoc* doc ,i8* encoding )",i32	html	Set	Meta	Encoding	xml	Doc*	doc	i8*	encoding	
520,i64,"htmlBufNodeDumpFormat(_xmlBuf* buf ,_xmlDoc* doc ,_xmlNode* cur ,i32 format )",i64	html	Buf	Node	Dump	Format	xml	Buf*	buf	xml	Doc*	doc	xml	Node*	cur	i32	format	
521,i64,"htmlBufNodeDumpFormat(_xmlBuf* buf ,_xmlDoc* doc ,_xmlNode* cur ,i32 format )",i64	html	Buf	Node	Dump	Format	xml	Buf*	buf	xml	Doc*	doc	xml	Node*	cur	i32	format	
522,i32,"htmlNodeDump(_xmlBuffer* buf ,_xmlDoc* doc ,_xmlNode* cur )",i32	html	Node	Dump	xml	Buffer*	buf	xml	Doc*	doc	xml	Node*	cur	
523,i32,"htmlNodeDump(_xmlBuffer* buf ,_xmlDoc* doc ,_xmlNode* cur )",i32	html	Node	Dump	xml	Buffer*	buf	xml	Doc*	doc	xml	Node*	cur	
524,i32,"htmlNodeDumpFileFormat(_IO_FILE* out ,_xmlDoc* doc ,_xmlNode* cur ,i8* encoding ,i32 format )",i32	html	Node	Dump	File	Format	I	O	F	I	L	E*	out	xml	Doc*	doc	xml	Node*	cur	i8*	encoding	i32	format	
525,i8*,htmlGetMetaEncoding(_xmlDoc* doc ),i8*	html	Get	Meta	Encoding	xml	Doc*	doc	
526,void,"htmlDocDumpMemoryFormat(_xmlDoc* cur ,i8** mem ,i32* size ,i32 format )",void	html	Doc	Dump	Memory	Format	xml	Doc*	cur	i	mem	i	size	i32	format	
527,void,"htmlDocDumpMemoryFormat(_xmlDoc* cur ,i8** mem ,i32* size ,i32 format )",void	html	Doc	Dump	Memory	Format	xml	Doc*	cur	i	mem	i	size	i32	format	
528,void,"htmlDocDumpMemoryFormat(_xmlDoc* cur ,i8** mem ,i32* size ,i32 format )",void	html	Doc	Dump	Memory	Format	xml	Doc*	cur	i	mem	i	size	i32	format	
529,void,"htmlAttrDumpOutput(_xmlOutputBuffer* buf ,_xmlDoc* doc ,_xmlAttr* cur ,i8* encoding )",void	html	Attr	Dump	Output	xml	Output	Buffer*	buf	xml	Doc*	doc	xml	Attr*	cur	i8*	encoding	
530,void,"htmlNodeDumpFormatOutput(_xmlOutputBuffer* buf ,_xmlDoc* doc ,_xmlNode* cur ,i8* encoding ,i32 format )",void	html	Node	Dump	Format	Output	xml	Output	Buffer*	buf	xml	Doc*	doc	xml	Node*	cur	i8*	encoding	i32	format	
531,void,"htmlNodeDumpFormatOutput(_xmlOutputBuffer* buf ,_xmlDoc* doc ,_xmlNode* cur ,i8* encoding ,i32 format )",void	html	Node	Dump	Format	Output	xml	Output	Buffer*	buf	xml	Doc*	doc	xml	Node*	cur	i8*	encoding	i32	format	
532,void,"htmlNodeDumpFormatOutput(_xmlOutputBuffer* buf ,_xmlDoc* doc ,_xmlNode* cur ,i8* encoding ,i32 format )",void	html	Node	Dump	Format	Output	xml	Output	Buffer*	buf	xml	Doc*	doc	xml	Node*	cur	i8*	encoding	i32	format	
533,void,"htmlNodeDumpFormatOutput(_xmlOutputBuffer* buf ,_xmlDoc* doc ,_xmlNode* cur ,i8* encoding ,i32 format )",void	html	Node	Dump	Format	Output	xml	Output	Buffer*	buf	xml	Doc*	doc	xml	Node*	cur	i8*	encoding	i32	format	
534,void,"htmlNodeDumpFormatOutput(_xmlOutputBuffer* buf ,_xmlDoc* doc ,_xmlNode* cur ,i8* encoding ,i32 format )",void	html	Node	Dump	Format	Output	xml	Output	Buffer*	buf	xml	Doc*	doc	xml	Node*	cur	i8*	encoding	i32	format	
535,void,"htmlNodeDumpFormatOutput(_xmlOutputBuffer* buf ,_xmlDoc* doc ,_xmlNode* cur ,i8* encoding ,i32 format )",void	html	Node	Dump	Format	Output	xml	Output	Buffer*	buf	xml	Doc*	doc	xml	Node*	cur	i8*	encoding	i32	format	
536,void,"htmlNodeDumpFormatOutput(_xmlOutputBuffer* buf ,_xmlDoc* doc ,_xmlNode* cur ,i8* encoding ,i32 format )",void	html	Node	Dump	Format	Output	xml	Output	Buffer*	buf	xml	Doc*	doc	xml	Node*	cur	i8*	encoding	i32	format	
537,i32,sqlMatch(i8* URI ),i32	sql	Match	i8*	U	R	I	
538,i8*,sqlOpen(i8* URI ),i8*	sql	Open	i8*	U	R	I	
539,i32,sqlClose(i8* context ),i32	sql	Close	i8*	context	
540,i32,"sqlRead(i8* context ,i8* buffer ,i32 len )",i32	sql	Read	i8*	context	i8*	buffer	i32	len	
541,i32,"sqlRead(i8* context ,i8* buffer ,i32 len )",i32	sql	Read	i8*	context	i8*	buffer	i32	len	
542,i32,"sqlRead(i8* context ,i8* buffer ,i32 len )",i32	sql	Read	i8*	context	i8*	buffer	i32	len	
543,i32,"sqlRead(i8* context ,i8* buffer ,i32 len )",i32	sql	Read	i8*	context	i8*	buffer	i32	len	
544,i32,"xmlGetFeaturesList(i32* len ,i8** result )",i32	xml	Get	Features	List	i	len	i	result	
545,i32,"xmlGetFeaturesList(i32* len ,i8** result )",i32	xml	Get	Features	List	i	len	i	result	
546,i32,"xmlGetFeaturesList(i32* len ,i8** result )",i32	xml	Get	Features	List	i	len	i	result	
547,i32,"xmlGetFeaturesList(i32* len ,i8** result )",i32	xml	Get	Features	List	i	len	i	result	
548,i32,"xmlGetFeaturesList(i32* len ,i8** result )",i32	xml	Get	Features	List	i	len	i	result	
549,i32,"xmlGetFeaturesList(i32* len ,i8** result )",i32	xml	Get	Features	List	i	len	i	result	
550,i32,"xmlGetFeature(_xmlParserCtxt* ctxt ,i8* name ,i8* result )",i32	xml	Get	Feature	xml	Parser	Ctxt*	ctxt	i8*	name	i8*	result	
551,i32,"xmlGetFeature(_xmlParserCtxt* ctxt ,i8* name ,i8* result )",i32	xml	Get	Feature	xml	Parser	Ctxt*	ctxt	i8*	name	i8*	result	
552,i32,"xmlGetFeature(_xmlParserCtxt* ctxt ,i8* name ,i8* result )",i32	xml	Get	Feature	xml	Parser	Ctxt*	ctxt	i8*	name	i8*	result	
553,i32,"xmlSetFeature(_xmlParserCtxt* ctxt ,i8* name ,i8* value )",i32	xml	Set	Feature	xml	Parser	Ctxt*	ctxt	i8*	name	i8*	value	
554,i32,"xmlSetFeature(_xmlParserCtxt* ctxt ,i8* name ,i8* value )",i32	xml	Set	Feature	xml	Parser	Ctxt*	ctxt	i8*	name	i8*	value	
555,i32,"xmlSetFeature(_xmlParserCtxt* ctxt ,i8* name ,i8* value )",i32	xml	Set	Feature	xml	Parser	Ctxt*	ctxt	i8*	name	i8*	value	
556,i8*,"xmlNanoFTPConnectTo(i8* server ,i32 port )",i8*	xml	Nano	F	T	P	Connect	To	i8*	server	i32	port	
557,i8*,"xmlNanoFTPConnectTo(i8* server ,i32 port )",i8*	xml	Nano	F	T	P	Connect	To	i8*	server	i32	port	
558,i8*,"xmlNanoFTPConnectTo(i8* server ,i32 port )",i8*	xml	Nano	F	T	P	Connect	To	i8*	server	i32	port	
559,i32,"xmlNanoFTPCwd(i8* ctx ,i8* directory )",i32	xml	Nano	F	T	P	Cwd	i8*	ctx	i8*	directory	
560,i32,"xmlNanoFTPDele(i8* ctx ,i8* file )",i32	xml	Nano	F	T	P	Dele	i8*	ctx	i8*	file	
561,i32,"xmlNanoFTPParseList(i8* list ,void (i8*, i8*, i8*, i8*, i8*, i64, i32, i32, i8*, i32, i32, i32)* callback ,i8* userData )",i32	xml	Nano	F	T	P	Parse	List	i8*	list	void	i8*	i8*	i8*	i8*	i8*	i64	i32	i32	i8*	i32	i32	i32	callback	i8*	user	Data	
562,i32,"xmlNanoFTPList(i8* ctx ,void (i8*, i8*, i8*, i8*, i8*, i64, i32, i32, i8*, i32, i32, i32)* callback ,i8* userData ,i8* filename )",i32	xml	Nano	F	T	P	List	i8*	ctx	void	i8*	i8*	i8*	i8*	i8*	i64	i32	i32	i8*	i32	i32	i32	callback	i8*	user	Data	i8*	filename	
563,i32,"xmlNanoFTPGetSocket(i8* ctx ,i8* filename )",i32	xml	Nano	F	T	P	Get	Socket	i8*	ctx	i8*	filename	
564,i32,"xmlNanoFTPGetSocket(i8* ctx ,i8* filename )",i32	xml	Nano	F	T	P	Get	Socket	i8*	ctx	i8*	filename	
565,i32,"xmlNanoFTPGetSocket(i8* ctx ,i8* filename )",i32	xml	Nano	F	T	P	Get	Socket	i8*	ctx	i8*	filename	
566,i32,"xmlNanoFTPGet(i8* ctx ,void (i8*, i8*, i32)* callback ,i8* userData ,i8* filename )",i32	xml	Nano	F	T	P	Get	i8*	ctx	void	i8*	i8*	i32	callback	i8*	user	Data	i8*	filename	
567,i32,"xmlNanoFTPGet(i8* ctx ,void (i8*, i8*, i32)* callback ,i8* userData ,i8* filename )",i32	xml	Nano	F	T	P	Get	i8*	ctx	void	i8*	i8*	i32	callback	i8*	user	Data	i8*	filename	
568,i32,"xmlNanoFTPRead(i8* ctx ,i8* dest ,i32 len )",i32	xml	Nano	F	T	P	Read	i8*	ctx	i8*	dest	i32	len	
569,i32,"xmlNanoFTPRead(i8* ctx ,i8* dest ,i32 len )",i32	xml	Nano	F	T	P	Read	i8*	ctx	i8*	dest	i32	len	
570,i32,"xmlNanoFTPRead(i8* ctx ,i8* dest ,i32 len )",i32	xml	Nano	F	T	P	Read	i8*	ctx	i8*	dest	i32	len	
571,i32,"xmlNanoFTPRead(i8* ctx ,i8* dest ,i32 len )",i32	xml	Nano	F	T	P	Read	i8*	ctx	i8*	dest	i32	len	
572,i32,"xmlNanoFTPRead(i8* ctx ,i8* dest ,i32 len )",i32	xml	Nano	F	T	P	Read	i8*	ctx	i8*	dest	i32	len	
573,i8*,xmlNanoFTPOpen(i8* URL ),i8*	xml	Nano	F	T	P	Open	i8*	U	R	L	
574,void,"xmlNanoFTPProxy(i8* host ,i32 port ,i8* user ,i8* passwd ,i32 type )",void	xml	Nano	F	T	P	Proxy	i8*	host	i32	port	i8*	user	i8*	passwd	i32	type	
575,void,"xmlNanoFTPProxy(i8* host ,i32 port ,i8* user ,i8* passwd ,i32 type )",void	xml	Nano	F	T	P	Proxy	i8*	host	i32	port	i8*	user	i8*	passwd	i32	type	
576,void,"xmlNanoFTPProxy(i8* host ,i32 port ,i8* user ,i8* passwd ,i32 type )",void	xml	Nano	F	T	P	Proxy	i8*	host	i32	port	i8*	user	i8*	passwd	i32	type	
577,void,"xmlNanoFTPScanURL(i8* ctx ,i8* URL )",void	xml	Nano	F	T	P	Scan	U	R	L	i8*	ctx	i8*	U	R	L	
578,i32,"xmlNanoFTPUpdateURL(i8* ctx ,i8* URL )",i32	xml	Nano	F	T	P	Update	U	R	L	i8*	ctx	i8*	U	R	L	
579,void,xmlNanoFTPScanProxy(i8* URL ),void	xml	Nano	F	T	P	Scan	Proxy	i8*	U	R	L	
580,i8*,xmlNanoFTPNewCtxt(i8* URL ),i8*	xml	Nano	F	T	P	New	Ctxt	i8*	U	R	L	
581,i32,"xmlNanoFTPParseResponse(i8* buf ,i32 len )",i32	xml	Nano	F	T	P	Parse	Response	i8*	buf	i32	len	
582,i8*,"xmlNanoHTTPOpen(i8* URL ,i8** contentType )",i8*	xml	Nano	H	T	T	P	Open	i8*	U	R	L	i	content	Type	
583,i8*,"xmlNanoHTTPOpenRedir(i8* URL ,i8** contentType ,i8** redir )",i8*	xml	Nano	H	T	T	P	Open	Redir	i8*	U	R	L	i	content	Type	i	redir	
584,i8*,"xmlNanoHTTPOpenRedir(i8* URL ,i8** contentType ,i8** redir )",i8*	xml	Nano	H	T	T	P	Open	Redir	i8*	U	R	L	i	content	Type	i	redir	
585,i32,"xmlNanoHTTPRead(i8* ctx ,i8* dest ,i32 len )",i32	xml	Nano	H	T	T	P	Read	i8*	ctx	i8*	dest	i32	len	
586,i32,"xmlNanoHTTPRead(i8* ctx ,i8* dest ,i32 len )",i32	xml	Nano	H	T	T	P	Read	i8*	ctx	i8*	dest	i32	len	
587,i32,"xmlNanoHTTPRead(i8* ctx ,i8* dest ,i32 len )",i32	xml	Nano	H	T	T	P	Read	i8*	ctx	i8*	dest	i32	len	
588,void,xmlNanoHTTPClose(i8* ctx ),void	xml	Nano	H	T	T	P	Close	i8*	ctx	
589,i8*,"xmlNanoHTTPMethodRedir(i8* URL ,i8* method ,i8* input ,i8** contentType ,i8** redir ,i8* headers ,i32 ilen )",i8*	xml	Nano	H	T	T	P	Method	Redir	i8*	U	R	L	i8*	method	i8*	input	i	content	Type	i	redir	i8*	headers	i32	ilen	
590,i8*,"xmlNanoHTTPMethodRedir(i8* URL ,i8* method ,i8* input ,i8** contentType ,i8** redir ,i8* headers ,i32 ilen )",i8*	xml	Nano	H	T	T	P	Method	Redir	i8*	U	R	L	i8*	method	i8*	input	i	content	Type	i	redir	i8*	headers	i32	ilen	
591,i8*,"xmlNanoHTTPMethodRedir(i8* URL ,i8* method ,i8* input ,i8** contentType ,i8** redir ,i8* headers ,i32 ilen )",i8*	xml	Nano	H	T	T	P	Method	Redir	i8*	U	R	L	i8*	method	i8*	input	i	content	Type	i	redir	i8*	headers	i32	ilen	
592,i8*,"xmlNanoHTTPMethodRedir(i8* URL ,i8* method ,i8* input ,i8** contentType ,i8** redir ,i8* headers ,i32 ilen )",i8*	xml	Nano	H	T	T	P	Method	Redir	i8*	U	R	L	i8*	method	i8*	input	i	content	Type	i	redir	i8*	headers	i32	ilen	
593,i8*,"xmlNanoHTTPMethodRedir(i8* URL ,i8* method ,i8* input ,i8** contentType ,i8** redir ,i8* headers ,i32 ilen )",i8*	xml	Nano	H	T	T	P	Method	Redir	i8*	U	R	L	i8*	method	i8*	input	i	content	Type	i	redir	i8*	headers	i32	ilen	
594,i8*,"xmlNanoHTTPMethodRedir(i8* URL ,i8* method ,i8* input ,i8** contentType ,i8** redir ,i8* headers ,i32 ilen )",i8*	xml	Nano	H	T	T	P	Method	Redir	i8*	U	R	L	i8*	method	i8*	input	i	content	Type	i	redir	i8*	headers	i32	ilen	
595,i8*,"xmlNanoHTTPMethodRedir(i8* URL ,i8* method ,i8* input ,i8** contentType ,i8** redir ,i8* headers ,i32 ilen )",i8*	xml	Nano	H	T	T	P	Method	Redir	i8*	U	R	L	i8*	method	i8*	input	i	content	Type	i	redir	i8*	headers	i32	ilen	
596,i8*,"xmlNanoHTTPMethodRedir(i8* URL ,i8* method ,i8* input ,i8** contentType ,i8** redir ,i8* headers ,i32 ilen )",i8*	xml	Nano	H	T	T	P	Method	Redir	i8*	U	R	L	i8*	method	i8*	input	i	content	Type	i	redir	i8*	headers	i32	ilen	
597,i8*,"xmlNanoHTTPMethodRedir(i8* URL ,i8* method ,i8* input ,i8** contentType ,i8** redir ,i8* headers ,i32 ilen )",i8*	xml	Nano	H	T	T	P	Method	Redir	i8*	U	R	L	i8*	method	i8*	input	i	content	Type	i	redir	i8*	headers	i32	ilen	
598,i8*,"xmlNanoHTTPMethodRedir(i8* URL ,i8* method ,i8* input ,i8** contentType ,i8** redir ,i8* headers ,i32 ilen )",i8*	xml	Nano	H	T	T	P	Method	Redir	i8*	U	R	L	i8*	method	i8*	input	i	content	Type	i	redir	i8*	headers	i32	ilen	
599,i8*,"xmlNanoHTTPMethodRedir(i8* URL ,i8* method ,i8* input ,i8** contentType ,i8** redir ,i8* headers ,i32 ilen )",i8*	xml	Nano	H	T	T	P	Method	Redir	i8*	U	R	L	i8*	method	i8*	input	i	content	Type	i	redir	i8*	headers	i32	ilen	
600,i8*,"xmlNanoHTTPMethodRedir(i8* URL ,i8* method ,i8* input ,i8** contentType ,i8** redir ,i8* headers ,i32 ilen )",i8*	xml	Nano	H	T	T	P	Method	Redir	i8*	U	R	L	i8*	method	i8*	input	i	content	Type	i	redir	i8*	headers	i32	ilen	
601,i8*,"xmlNanoHTTPMethodRedir(i8* URL ,i8* method ,i8* input ,i8** contentType ,i8** redir ,i8* headers ,i32 ilen )",i8*	xml	Nano	H	T	T	P	Method	Redir	i8*	U	R	L	i8*	method	i8*	input	i	content	Type	i	redir	i8*	headers	i32	ilen	
602,i8*,"xmlNanoHTTPMethodRedir(i8* URL ,i8* method ,i8* input ,i8** contentType ,i8** redir ,i8* headers ,i32 ilen )",i8*	xml	Nano	H	T	T	P	Method	Redir	i8*	U	R	L	i8*	method	i8*	input	i	content	Type	i	redir	i8*	headers	i32	ilen	
603,i32,"xmlNanoHTTPFetch(i8* URL ,i8* filename ,i8** contentType )",i32	xml	Nano	H	T	T	P	Fetch	i8*	U	R	L	i8*	filename	i	content	Type	
604,i32,"xmlNanoHTTPFetch(i8* URL ,i8* filename ,i8** contentType )",i32	xml	Nano	H	T	T	P	Fetch	i8*	U	R	L	i8*	filename	i	content	Type	
605,i32,"xmlNanoHTTPFetch(i8* URL ,i8* filename ,i8** contentType )",i32	xml	Nano	H	T	T	P	Fetch	i8*	U	R	L	i8*	filename	i	content	Type	
606,i32,"xmlNanoHTTPSave(i8* ctxt ,i8* filename )",i32	xml	Nano	H	T	T	P	Save	i8*	ctxt	i8*	filename	
607,i32,"xmlNanoHTTPSave(i8* ctxt ,i8* filename )",i32	xml	Nano	H	T	T	P	Save	i8*	ctxt	i8*	filename	
608,i32,"xmlNanoHTTPFetchContent(i8* ctx ,i8** ptr ,i32* len )",i32	xml	Nano	H	T	T	P	Fetch	Content	i8*	ctx	i	ptr	i	len	
609,i32,"xmlNanoHTTPFetchContent(i8* ctx ,i8** ptr ,i32* len )",i32	xml	Nano	H	T	T	P	Fetch	Content	i8*	ctx	i	ptr	i	len	
610,void,"xmlNanoHTTPScanURL(xmlNanoHTTPCtxt* ctxt ,i8* URL )",void	xml	Nano	H	T	T	P	Scan	U	R	L	xml	Nano	H	T	T	P	Ctxt*	ctxt	i8*	U	R	L	
611,void,xmlNanoHTTPScanProxy(i8* URL ),void	xml	Nano	H	T	T	P	Scan	Proxy	i8*	U	R	L	
612,void,xmlNanoHTTPFreeCtxt(xmlNanoHTTPCtxt* ctxt ),void	xml	Nano	H	T	T	P	Free	Ctxt	xml	Nano	H	T	T	P	Ctxt*	ctxt	
613,i32,"xmlNanoHTTPSend(xmlNanoHTTPCtxt* ctxt ,i8* xmt_ptr ,i32 outlen )",i32	xml	Nano	H	T	T	P	Send	xml	Nano	H	T	T	P	Ctxt*	ctxt	i8*	xmt	ptr	i32	outlen	
614,i32,"xmlNanoHTTPSend(xmlNanoHTTPCtxt* ctxt ,i8* xmt_ptr ,i32 outlen )",i32	xml	Nano	H	T	T	P	Send	xml	Nano	H	T	T	P	Ctxt*	ctxt	i8*	xmt	ptr	i32	outlen	
615,void,"xmlNanoHTTPScanAnswer(xmlNanoHTTPCtxt* ctxt ,i8* line )",void	xml	Nano	H	T	T	P	Scan	Answer	xml	Nano	H	T	T	P	Ctxt*	ctxt	i8*	line	
616,i32,"main(i32 argc ,i8** argv )",i32	main	i32	argc	i	argv	
617,i32,"main(i32 argc ,i8** argv )",i32	main	i32	argc	i	argv	
618,i32,"main(i32 argc ,i8** argv )",i32	main	i32	argc	i	argv	
619,i32,xmlCheckLanguageID(i8* lang ),i32	xml	Check	Language	I	D	i8*	lang	
